,name,id,type,lat,lon,nodes,geometry,area,source
30,,937293095,way,33.7967468,35.9257033,"[8684597817, 8684564416, 8684564415, 8684564414, 8684564413, 8684564412, 8684597817]","POLYGON ((35.9244347 33.7966598, 35.9244829 33.7962007, 35.9246439 33.7957861, 35.9248906 33.7955632, 35.926972 33.7970566, 35.9261084 33.7979303, 35.9244347 33.7966598))",0.04283936230752975,OSM
31,,937309534,way,33.7756689,35.9171391,"[8684699678, 8684699677, 8684699676, 8684699673, 8684699675, 8684699674, 8684699678]","POLYGON ((35.9159455 33.777045, 35.9186062 33.7748913, 35.917905 33.7742927, 35.9168091 33.7751722, 35.9172291 33.7755546, 35.9156719 33.7768086, 35.9159455 33.777045))",0.029742988795523045,OSM
32,,941483963,way,33.7896084,35.9435347,"[8718820872, 8718820871, 8718820870, 9699983970, 8718820869, 8718820868, 8718820867, 8718820866, 8718820865, 8718820864, 8492131399, 8718820863, 8718820862, 8718820872]","POLYGON ((35.9405225 33.7887065, 35.9425986 33.7872264, 35.9432208 33.7873735, 35.9438096 33.7876521, 35.9447926 33.7882785, 35.9456992 33.7888046, 35.9465468 33.7892683, 35.9453344 33.79016, 35.945549 33.7904096, 35.9455061 33.7906414, 35.9438332 33.7919904, 35.9433925 33.7917114, 35.9418154 33.7902045, 35.9405225 33.7887065))",0.22282530865906136,OSM
33,,941483965,way,33.7926509,35.9408122,"[8718651461, 8718651462, 8718820884, 8718820883, 8718820882, 8718820881, 8718820880, 8718651461]","POLYGON ((35.9386504 33.7936552, 35.9425422 33.7910137, 35.9430599 33.7915955, 35.9408981 33.7930266, 35.9401578 33.7936039, 35.9391278 33.7942882, 35.9385645 33.7937176, 35.9386504 33.7936552))",0.05505636726134145,OSM
34,,1026354643,way,34.0421952,36.1559079,"[9462769049, 9462769048, 9462769047, 9462769046, 9462769045, 9462769044, 9462769043, 9462769041, 9462769049]","POLYGON ((36.1552548 34.0428075, 36.1568749 34.042263, 36.1564752 34.0415829, 36.1549786 34.0420874, 36.154941 34.0421496, 36.1549786 34.0422608, 36.1550966 34.0425141, 36.1551623 34.0426619, 36.1552548 34.0428075))",0.019444989063458252,OSM
35,,1026447769,way,33.6806978,35.8188381,"[9463584150, 9463584149, 9463584148, 9463584147, 9463584146, 9463584145, 9463584144, 9463584143, 9463584142, 9463584141, 9463584140, 9463584139, 9463584138, 9463584137, 9463584136, 9463584135, 9463584134, 9463584150]","POLYGON ((35.8183908 33.6816162, 35.8183292 33.6815783, 35.8183171 33.6814198, 35.8184043 33.6810493, 35.8185799 33.6804043, 35.8187315 33.6798965, 35.8187905 33.6797715, 35.8190399 33.6798027, 35.8190453 33.6799032, 35.8192706 33.679959, 35.8193216 33.6801197, 35.8191928 33.680229, 35.819335 33.6807982, 35.8193591 33.6811464, 35.8189648 33.6811308, 35.8188736 33.681383, 35.8188522 33.681624, 35.8183908 33.6816162))",0.01794320810449154,OSM
36,,1026450052,way,33.6472105,35.8256637,"[9463589777, 9463589776, 9463589775, 9463589774, 9463589773, 9463589772, 9463589771, 9463589770, 9463589769, 9463589768, 9463589767, 9463589766, 9463589765, 9463589764, 9463589763, 9463589762, 9463589761, 9463589760, 9463589759, 9463589758, 9463589757, 9463589756, 9463589755, 9463589754, 9463589753, 9463589752, 9463589751, 9463589750, 9463589749, 9463589748, 9463589747, 9463589746, 9463589745, 9463589744, 9463589743, 9463589742, 9463589777]","POLYGON ((35.8265045 33.6455738, 35.8266118 33.6455392, 35.8272314 33.6458942, 35.8271992 33.6459768, 35.8268639 33.6464413, 35.8262524 33.6473076, 35.826019 33.6476649, 35.8260217 33.6477944, 35.8262122 33.6478904, 35.8262819 33.647973, 35.8262309 33.648098, 35.8261317 33.6482208, 35.825842 33.6480779, 35.8257374 33.6481494, 35.8256945 33.6482923, 35.8254907 33.648788, 35.8254048 33.6488661, 35.8253002 33.6488818, 35.825091 33.6488148, 35.825091 33.6487076, 35.8252144 33.6483704, 35.8253244 33.648002, 35.8253378 33.6478614, 35.8247289 33.6476693, 35.8245948 33.6477073, 35.8243883 33.6477341, 35.8242381 33.6477028, 35.8240959 33.6476046, 35.8241066 33.6474594, 35.8242086 33.6472987, 35.8249918 33.64758, 35.8251956 33.6472875, 35.8254477 33.6473433, 35.8260351 33.6465484, 35.8262175 33.6461465, 35.8263302 33.6458607, 35.8265045 33.6455738))",0.04002094664210336,OSM
37,,1026450793,way,33.6356888,35.7864585,"[7460286721, 9463526476, 9463526475, 9463526474, 4744630212, 7460286722, 7460286721]","POLYGON ((35.7855284 33.6357296, 35.7855137 33.6357027, 35.7863519 33.6350585, 35.7866174 33.6348709, 35.7867086 33.634872, 35.7874033 33.6365067, 35.7855284 33.6357296))",0.019797612377026534,OSM
38,,1026450794,way,33.634931,35.7859348,"[9463526481, 9463526480, 9463526479, 9463526478, 9463526477, 7460286719, 9629671285, 9629671284, 9463526481]","POLYGON ((35.7865954 33.6339806, 35.7869232 33.6342445, 35.787178 33.6343986, 35.7852897 33.6358233, 35.7852001 33.6358815, 35.7846916 33.6355152, 35.7858274 33.6346054, 35.7859181 33.6345204, 35.7865954 33.6339806))",0.023569477288104906,OSM
39,,1040254854,way,34.636121,36.0081625,"[9578124269, 9578124268, 9578124267, 9578124266, 9578124265, 9578124264, 9578124269]","POLYGON ((36.0081893 34.6368493, 36.0089189 34.6366109, 36.0084093 34.6355517, 36.0080981 34.6355958, 36.0078406 34.6353928, 36.0074061 34.6355472, 36.0081893 34.6368493))",0.017164832913909984,OSM
